campaign_id,channel,budget,impressions,clicks,conversions,cost_per_click,roi
48,Instagram Ads,247,5047,147,57,1.7,2.5
49,LinkedIn Ads,248,5048,148,58,1.8,2.6
50,Twitter Ads,249,5049,149,59,1.9,2.7
51,Google Ads,250,5050,150,10,1.5,1.8
52,Facebook Ads,251,5051,151,11,1.6,1.9
53,Instagram Ads,252,5052,152,12,1.7,2.0
54,LinkedIn Ads,253,5053,153,13,1.8,2.1
55,Twitter Ads,254,5054,154,14,1.9,2.2
56,Google Ads,255,5055,155,15,1.5,2.3
57,Facebook Ads,256,5056,156,16,1.6,2.4
58,Instagram Ads,257,5057,157,17,1.7,2.5
59,LinkedIn Ads,258,5058,158,18,1.8,2.6
60,Twitter Ads,259,5059,159,19,1.9,2.7
61,Google Ads,260,5060,160,20,1.5,1.8
62,Facebook Ads,261,5061,161,21,1.6,1.9
63,Instagram Ads,262,5062,162,22,1.7,2.0
64,LinkedIn Ads,263,5063,163,23,1.8,2.1
65,Twitter Ads,264,5064,164,24,1.9,2.2
66,Google Ads,265,5065,165,25,1.5,2.3
67,Facebook Ads,266,5066,166,26,1.6,2.4
68,Instagram Ads,267,5067,167,27,1.7,2.5
69,LinkedIn Ads,268,5068,168,28,1.8,2.6
70,Twitter Ads,269,5069,169,29,1.9,2.7
71,Google Ads,270,5070,170,30,1.5,1.8
72,Facebook Ads,271,5071,171,31,1.6,1.9
73,Instagram Ads,272,5072,172,32,1.7,2.0
74,LinkedIn Ads,273,5073,173,33,1.8,2.1
75,Twitter Ads,274,5074,174,34,1.9,2.2
76,Google Ads,275,5075,175,35,1.5,2.3
77,Facebook Ads,276,5076,176,36,1.6,2.4
78,Instagram Ads,277,5077,177,37,1.7,2.5
79,LinkedIn Ads,278,5078,178,38,1.8,2.6
80,Twitter Ads,279,5079,179,39,1.9,2.7
81,Google Ads,280,5080,180,40,1.5,1.8
82,Facebook Ads,281,5081,181,41,1.6,1.9
83,Instagram Ads,282,5082,182,42,1.7,2.0
84,LinkedIn Ads,283,5083,183,43,1.8,2.1
85,Twitter Ads,284,5084,184,44,1.9,2.2
86,Google Ads,285,5085,185,45,1.5,2.3
87,Facebook Ads,286,5086,186,46,1.6,2.4
88,Instagram Ads,287,5087,187,47,1.7,2.5
89,LinkedIn Ads,288,5088,188,48,1.8,2.6
90,Twitter Ads,289,5089,189,49,1.9,2.7
91,Google Ads,290,5090,190,50,1.5,1.8
92,Facebook Ads,291,5091,191,51,1.6,1.9
93,Instagram Ads,292,5092,192,52,1.7,2.0
94,LinkedIn Ads,293,5093,193,53,1.8,2.1
95,Twitter Ads,294,5094,194,54,1.9,2.2
96,Google Ads,295,5095,195,55,1.5,2.3
97,Facebook Ads,296,5096,196,56,1.6,2.4
98,Instagram Ads,297,5097,197,57,1.7,2.5
99,LinkedIn Ads,298,5098,198,58,1.8,2.6
100,Twitter Ads,299,5099,199,59,1.9,2.7
101,Google Ads,300,5100,200,10,1.5,1.8
102,Facebook Ads,301,5101,201,11,1.6,1.9
103,Instagram Ads,302,5102,202,12,1.7,2.0
104,LinkedIn Ads,303,5103,203,13,1.8,2.1
105,Twitter Ads,304,5104,204,14,1.9,2.2
106,Google Ads,305,5105,205,15,1.5,2.3
107,Facebook Ads,306,5106,206,16,1.6,2.4
108,Instagram Ads,307,5107,207,17,1.7,2.5
109,LinkedIn Ads,308,5108,208,18,1.8,2.6
110,Twitter Ads,309,5109,209,19,1.9,2.7
111,Google Ads,310,5110,210,20,1.5,1.8
112,Facebook Ads,311,5111,211,21,1.6,1.9
113,Instagram Ads,312,5112,212,22,1.7,2.0
114,LinkedIn Ads,313,5113,213,23,1.8,2.1
115,Twitter Ads,314,5114,214,24,1.9,2.2
116,Google Ads,315,5115,215,25,1.5,2.3
117,Facebook Ads,316,5116,216,26,1.6,2.4
118,Instagram Ads,317,5117,217,27,1.7,2.5
119,LinkedIn Ads,318,5118,218,28,1.8,2.6
120,Twitter Ads,319,5119,219,29,1.9,2.7
121,Google Ads,320,5120,220,30,1.5,1.8
122,Facebook Ads,321,5121,221,31,1.6,1.9
123,Instagram Ads,322,5122,222,32,1.7,2.0
124,LinkedIn Ads,323,5123,223,33,1.8,2.1
125,Twitter Ads,324,5124,224,34,1.9,2.2
126,Google Ads,325,5125,225,35,1.5,2.3
127,Facebook Ads,326,5126,226,36,1.6,2.4
128,Instagram Ads,327,5127,227,37,1.7,2.5
129,LinkedIn Ads,328,5128,228,38,1.8,2.6
130,Twitter Ads,329,5129,229,39,1.9,2.7
131,Google Ads,330,5130,230,40,1.5,1.8
132,Facebook Ads,331,5131,231,41,1.6,1.9
133,Instagram Ads,332,5132,232,42,1.7,2.0
134,LinkedIn Ads,333,5133,233,43,1.8,2.1
135,Twitter Ads,334,5134,234,44,1.9,2.2
136,Google Ads,335,5135,235,45,1.5,2.3
137,Facebook Ads,336,5136,236,46,1.6,2.4
138,Instagram Ads,337,5137,237,47,1.7,2.5
139,LinkedIn Ads,338,5138,238,48,1.8,2.6
140,Twitter Ads,339,5139,239,49,1.9,2.7
141,Google Ads,340,5140,240,50,1.5,1.8
142,Facebook Ads,341,5141,241,51,1.6,1.9
143,Instagram Ads,342,5142,242,52,1.7,2.0
144,LinkedIn Ads,343,5143,243,53,1.8,2.1
145,Twitter Ads,344,5144,244,54,1.9,2.2
146,Google Ads,345,5145,245,55,1.5,2.3
147,Facebook Ads,346,5146,246,56,1.6,2.4
148,Instagram Ads,347,5147,247,57,1.7,2.5
149,LinkedIn Ads,348,5148,248,58,1.8,2.6
150,Twitter Ads,349,5149,249,59,1.9,2.7
151,Google Ads,350,5150,250,10,1.5,1.8
152,Facebook Ads,351,5151,251,11,1.6,1.9
153,Instagram Ads,352,5152,252,12,1.7,2.0
154,LinkedIn Ads,353,5153,253,13,1.8,2.1
155,Twitter Ads,354,5154,254,14,1.9,2.2
156,Google Ads,355,5155,255,15,1.5,2.3
157,Facebook Ads,356,5156,256,16,1.6,2.4
158,Instagram Ads,357,5157,257,17,1.7,2.5
159,LinkedIn Ads,358,5158,258,18,1.8,2.6
160,Twitter Ads,359,5159,259,19,1.9,2.7
161,Google Ads,360,5160,260,20,1.5,1.8
162,Facebook Ads,361,5161,261,21,1.6,1.9
163,Instagram Ads,362,5162,262,22,1.7,2.0
164,LinkedIn Ads,363,5163,263,23,1.8,2.1
165,Twitter Ads,364,5164,264,24,1.9,2.2
166,Google Ads,365,5165,265,25,1.5,2.3
167,Facebook Ads,366,5166,266,26,1.6,2.4
168,Instagram Ads,367,5167,267,27,1.7,2.5
169,LinkedIn Ads,368,5168,268,28,1.8,2.6
170,Twitter Ads,369,5169,269,29,1.9,2.7
171,Google Ads,370,5170,270,30,1.5,1.8
172,Facebook Ads,371,5171,271,31,1.6,1.9
173,Instagram Ads,372,5172,272,32,1.7,2.0
174,LinkedIn Ads,373,5173,273,33,1.8,2.1
175,Twitter Ads,374,5174,274,34,1.9,2.2
176,Google Ads,375,5175,275,35,1.5,2.3
177,Facebook Ads,376,5176,276,36,1.6,2.4
178,Instagram Ads,377,5177,277,37,1.7,2.5
179,LinkedIn Ads,378,5178,278,38,1.8,2.6
180,Twitter Ads,379,5179,279,39,1.9,2.7
181,Google Ads,380,5180,280,40,1.5,1.8
182,Facebook Ads,381,5181,281,41,1.6,1.9
183,Instagram Ads,382,5182,282,42,1.7,2.0
184,LinkedIn Ads,383,5183,283,43,1.8,2.1
185,Twitter Ads,384,5184,284,44,1.9,2.2
186,Google Ads,385,5185,285,45,1.5,2.3
187,Facebook Ads,386,5186,286,46,1.6,2.4
188,Instagram Ads,387,5187,287,47,1.7,2.5
189,LinkedIn Ads,388,5188,288,48,1.8,2.6
190,Twitter Ads,389,5189,289,49,1.9,2.7
191,Google Ads,390,5190,290,50,1.5,1.8
192,Facebook Ads,391,5191,291,51,1.6,1.9
193,Instagram Ads,392,5192,292,52,1.7,2.0
194,LinkedIn Ads,393,5193,293,53,1.8,2.1
195,Twitter Ads,394,5194,294,54,1.9,2.2
196,Google Ads,395,5195,295,55,1.5,2.3
197,Facebook Ads,396,5196,296,56,1.6,2.4
198,Instagram Ads,397,5197,297,57,1.7,2.5
199,LinkedIn Ads,398,5198,298,58,1.8,2.6
200,Twitter Ads,399,5199,299,59,1.9,2.7
201,Google Ads,400,5200,300,10,1.5,1.8
202,Facebook Ads,401,5201,301,11,1.6,1.9
203,Instagram Ads,402,5202,302,12,1.7,2.0
204,LinkedIn Ads,403,5203,303,13,1.8,2.1
205,Twitter Ads,404,5204,304,14,1.9,2.2
206,Google Ads,405,5205,305,15,1.5,2.3
207,Facebook Ads,406,5206,306,16,1.6,2.4
208,Instagram Ads,407,5207,307,17,1.7,2.5
209,LinkedIn Ads,408,5208,308,18,1.8,2.6
210,Twitter Ads,409,5209,309,19,1.9,2.7
211,Google Ads,410,5210,310,20,1.5,1.8
212,Facebook Ads,411,5211,311,21,1.6,1.9
213,Instagram Ads,412,5212,312,22,1.7,2.0
214,LinkedIn Ads,413,5213,313,23,1.8,2.1
215,Twitter Ads,414,5214,314,24,1.9,2.2
216,Google Ads,415,5215,315,25,1.5,2.3
217,Facebook Ads,416,5216,316,26,1.6,2.4
218,Instagram Ads,417,5217,317,27,1.7,2.5
219,LinkedIn Ads,418,5218,318,28,1.8,2.6
220,Twitter Ads,419,5219,319,29,1.9,2.7
221,Google Ads,420,5220,320,30,1.5,1.8
222,Facebook Ads,421,5221,321,31,1.6,1.9
223,Instagram Ads,422,5222,322,32,1.7,2.0
224,LinkedIn Ads,423,5223,323,33,1.8,2.1
225,Twitter Ads,424,5224,324,34,1.9,2.2
226,Google Ads,425,5225,325,35,1.5,2.3
227,Facebook Ads,426,5226,326,36,1.6,2.4
228,Instagram Ads,427,5227,327,37,1.7,2.5
229,LinkedIn Ads,428,5228,328,38,1.8,2.6
230,Twitter Ads,429,5229,329,39,1.9,2.7
231,Google Ads,430,5230,330,40,1.5,1.8
232,Facebook Ads,431,5231,331,41,1.6,1.9
233,Instagram Ads,432,5232,332,42,1.7,2.0
234,LinkedIn Ads,433,5233,333,43,1.8,2.1
235,Twitter Ads,434,5234,334,44,1.9,2.2
236,Google Ads,435,5235,335,45,1.5,2.3
237,Facebook Ads,436,5236,336,46,1.6,2.4
238,Instagram Ads,437,5237,337,47,1.7,2.5
239,LinkedIn Ads,438,5238,338,48,1.8,2.6
240,Twitter Ads,439,5239,339,49,1.9,2.7
241,Google Ads,440,5240,340,50,1.5,1.8
242,Facebook Ads,441,5241,341,51,1.6,1.9
243,Instagram Ads,442,5242,342,52,1.7,2.0
244,LinkedIn Ads,443,5243,343,53,1.8,2.1
245,Twitter Ads,444,5244,344,54,1.9,2.2
246,Google Ads,445,5245,345,55,1.5,2.3
247,Facebook Ads,446,5246,346,56,1.6,2.4
248,Instagram Ads,447,5247,347,57,1.7,2.5
249,LinkedIn Ads,448,5248,348,58,1.8,2.6
250,Twitter Ads,449,5249,349,59,1.9,2.7
251,Google Ads,450,5250,350,10,1.5,1.8
252,Facebook Ads,451,5251,351,11,1.6,1.9
253,Instagram Ads,452,5252,352,12,1.7,2.0
254,LinkedIn Ads,453,5253,353,13,1.8,2.1
255,Twitter Ads,454,5254,354,14,1.9,2.2
256,Google Ads,455,5255,355,15,1.5,2.3
257,Facebook Ads,456,5256,356,16,1.6,2.4
258,Instagram Ads,457,5257,357,17,1.7,2.5
259,LinkedIn Ads,458,5258,358,18,1.8,2.6
260,Twitter Ads,459,5259,359,19,1.9,2.7
261,Google Ads,460,5260,360,20,1.5,1.8
262,Facebook Ads,461,5261,361,21,1.6,1.9
263,Instagram Ads,462,5262,362,22,1.7,2.0
264,LinkedIn Ads,463,5263,363,23,1.8,2.1
265,Twitter Ads,464,5264,364,24,1.9,2.2
266,Google Ads,465,5265,365,25,1.5,2.3
267,Facebook Ads,466,5266,366,26,1.6,2.4
268,Instagram Ads,467,5267,367,27,1.7,2.5
269,LinkedIn Ads,468,5268,368,28,1.8,2.6
270,Twitter Ads,469,5269,369,29,1.9,2.7
271,Google Ads,470,5270,370,30,1.5,1.8
272,Facebook Ads,471,5271,371,31,1.6,1.9
273,Instagram Ads,472,5272,372,32,1.7,2.0
274,LinkedIn Ads,473,5273,373,33,1.8,2.1
275,Twitter Ads,474,5274,374,34,1.9,2.2
276,Google Ads,475,5275,375,35,1.5,2.3
277,Facebook Ads,476,5276,376,36,1.6,2.4
278,Instagram Ads,477,5277,377,37,1.7,2.5
279,LinkedIn Ads,478,5278,378,38,1.8,2.6
280,Twitter Ads,479,5279,379,39,1.9,2.7
281,Google Ads,480,5280,380,40,1.5,1.8
282,Facebook Ads,481,5281,381,41,1.6,1.9
283,Instagram Ads,482,5282,382,42,1.7,2.0
284,LinkedIn Ads,483,5283,383,43,1.8,2.1
285,Twitter Ads,484,5284,384,44,1.9,2.2
286,Google Ads,485,5285,385,45,1.5,2.3
287,Facebook Ads,486,5286,386,46,1.6,2.4
288,Instagram Ads,487,5287,387,47,1.7,2.5
289,LinkedIn Ads,488,5288,388,48,1.8,2.6
290,Twitter Ads,489,5289,389,49,1.9,2.7
291,Google Ads,490,5290,390,50,1.5,1.8
292,Facebook Ads,491,5291,391,51,1.6,1.9
293,Instagram Ads,492,5292,392,52,1.7,2.0
294,LinkedIn Ads,493,5293,393,53,1.8,2.1
295,Twitter Ads,494,5294,394,54,1.9,2.2
296,Google Ads,495,5295,395,55,1.5,2.3
297,Facebook Ads,496,5296,396,56,1.6,2.4
298,Instagram Ads,497,5297,397,57,1.7,2.5
299,LinkedIn Ads,498,5298,398,58,1.8,2.6
300,Twitter Ads,499,5299,399,59,1.9,2.7
301,Google Ads,500,5300,400,10,1.5,1.8
302,Facebook Ads,501,5301,401,11,1.6,1.9
303,Instagram Ads,502,5302,402,12,1.7,2.0
304,LinkedIn Ads,503,5303,403,13,1.8,2.1
305,Twitter Ads,504,5304,404,14,1.9,2.2
306,Google Ads,505,5305,405,15,1.5,2.3
307,Facebook Ads,506,5306,406,16,1.6,2.4
308,Instagram Ads,507,5307,407,17,1.7,2.5
309,LinkedIn Ads,508,5308,408,18,1.8,2.6
310,Twitter Ads,509,5309,409,19,1.9,2.7
311,Google Ads,510,5310,410,20,1.5,1.8
312,Facebook Ads,511,5311,411,21,1.6,1.9
313,Instagram Ads,512,5312,412,22,1.7,2.0
314,LinkedIn Ads,513,5313,413,23,1.8,2.1
315,Twitter Ads,514,5314,414,24,1.9,2.2
316,Google Ads,515,5315,415,25,1.5,2.3
317,Facebook Ads,516,5316,416,26,1.6,2.4
318,Instagram Ads,517,5317,417,27,1.7,2.5
319,LinkedIn Ads,518,5318,418,28,1.8,2.6
320,Twitter Ads,519,5319,419,29,1.9,2.7
321,Google Ads,520,5320,420,30,1.5,1.8
322,Facebook Ads,521,5321,421,31,1.6,1.9
323,Instagram Ads,522,5322,422,32,1.7,2.0
324,LinkedIn Ads,523,5323,423,33,1.8,2.1
325,Twitter Ads,524,5324,424,34,1.9,2.2
326,Google Ads,525,5325,425,35,1.5,2.3
327,Facebook Ads,526,5326,426,36,1.6,2.4
328,Instagram Ads,527,5327,427,37,1.7,2.5
329,LinkedIn Ads,528,5328,428,38,1.8,2.6
330,Twitter Ads,529,5329,429,39,1.9,2.7
331,Google Ads,530,5330,430,40,1.5,1.8
332,Facebook Ads,531,5331,431,41,1.6,1.9
333,Instagram Ads,532,5332,432,42,1.7,2.0
334,LinkedIn Ads,533,5333,433,43,1.8,2.1
335,Twitter Ads,534,5334,434,44,1.9,2.2
336,Google Ads,535,5335,435,45,1.5,2.3
337,Facebook Ads,536,5336,436,46,1.6,2.4
338,Instagram Ads,537,5337,437,47,1.7,2.5
339,LinkedIn Ads,538,5338,438,48,1.8,2.6
340,Twitter Ads,539,5339,439,49,1.9,2.7
341,Google Ads,540,5340,440,50,1.5,1.8
342,Facebook Ads,541,5341,441,51,1.6,1.9
343,Instagram Ads,542,5342,442,52,1.7,2.0
344,LinkedIn Ads,543,5343,443,53,1.8,2.1
345,Twitter Ads,544,5344,444,54,1.9,2.2
346,Google Ads,545,5345,445,55,1.5,2.3
347,Facebook Ads,546,5346,446,56,1.6,2.4
348,Instagram Ads,547,5347,447,57,1.7,2.5
349,LinkedIn Ads,548,5348,448,58,1.8,2.6
350,Twitter Ads,549,5349,449,59,1.9,2.7
351,Google Ads,550,5350,450,10,1.5,1.8
352,Facebook Ads,551,5351,451,11,1.6,1.9
353,Instagram Ads,552,5352,452,12,1.7,2.0
354,LinkedIn Ads,553,5353,453,13,1.8,2.1
355,Twitter Ads,554,5354,454,14,1.9,2.2
356,Google Ads,555,5355,455,15,1.5,2.3
357,Facebook Ads,556,5356,456,16,1.6,2.4
358,Instagram Ads,557,5357,457,17,1.7,2.5
359,LinkedIn Ads,558,5358,458,18,1.8,2.6
360,Twitter Ads,559,5359,459,19,1.9,2.7
361,Google Ads,560,5360,460,20,1.5,1.8
362,Facebook Ads,561,5361,461,21,1.6,1.9
363,Instagram Ads,562,5362,462,22,1.7,2.0
364,LinkedIn Ads,563,5363,463,23,1.8,2.1
365,Twitter Ads,564,5364,464,24,1.9,2.2
366,Google Ads,565,5365,465,25,1.5,2.3
367,Facebook Ads,566,5366,466,26,1.6,2.4
368,Instagram Ads,567,5367,467,27,1.7,2.5
369,LinkedIn Ads,568,5368,468,28,1.8,2.6
370,Twitter Ads,569,5369,469,29,1.9,2.7
371,Google Ads,570,5370,470,30,1.5,1.8
372,Facebook Ads,571,5371,471,31,1.6,1.9
373,Instagram Ads,572,5372,472,32,1.7,2.0
374,LinkedIn Ads,573,5373,473,33,1.8,2.1
375,Twitter Ads,574,5374,474,34,1.9,2.2
376,Google Ads,575,5375,475,35,1.5,2.3
377,Facebook Ads,576,5376,476,36,1.6,2.4
378,Instagram Ads,577,5377,477,37,1.7,2.5
379,LinkedIn Ads,578,5378,478,38,1.8,2.6
380,Twitter Ads,579,5379,479,39,1.9,2.7
381,Google Ads,580,5380,480,40,1.5,1.8
382,Facebook Ads,581,5381,481,41,1.6,1.9
383,Instagram Ads,582,5382,482,42,1.7,2.0
384,LinkedIn Ads,583,5383,483,43,1.8,2.1
385,Twitter Ads,584,5384,484,44,1.9,2.2
386,Google Ads,585,5385,485,45,1.5,2.3
387,Facebook Ads,586,5386,486,46,1.6,2.4
388,Instagram Ads,587,5387,487,47,1.7,2.5
389,LinkedIn Ads,588,5388,488,48,1.8,2.6
390,Twitter Ads,589,5389,489,49,1.9,2.7
391,Google Ads,590,5390,490,50,1.5,1.8
392,Facebook Ads,591,5391,491,51,1.6,1.9
393,Instagram Ads,592,5392,492,52,1.7,2.0
394,LinkedIn Ads,593,5393,493,53,1.8,2.1
395,Twitter Ads,594,5394,494,54,1.9,2.2
396,Google Ads,595,5395,495,55,1.5,2.3
397,Facebook Ads,596,5396,496,56,1.6,2.4
398,Instagram Ads,597,5397,497,57,1.7,2.5
399,LinkedIn Ads,598,5398,498,58,1.8,2.6
400,Twitter Ads,599,5399,499,59,1.9,2.7
401,Google Ads,600,5400,500,10,1.5,1.8
402,Facebook Ads,601,5401,501,11,1.6,1.9
403,Instagram Ads,602,5402,502,12,1.7,2.0
404,LinkedIn Ads,603,5403,503,13,1.8,2.1
405,Twitter Ads,604,5404,504,14,1.9,2.2
406,Google Ads,605,5405,505,15,1.5,2.3
407,Facebook Ads,606,5406,506,16,1.6,2.4
408,Instagram Ads,607,5407,507,17,1.7,2.5
409,LinkedIn Ads,608,5408,508,18,1.8,2.6
410,Twitter Ads,609,5409,509,19,1.9,2.7
411,Google Ads,610,5410,510,20,1.5,1.8
412,Facebook Ads,611,5411,511,21,1.6,1.9
413,Instagram Ads,612,5412,512,22,1.7,2.0
414,LinkedIn Ads,613,5413,513,23,1.8,2.1
415,Twitter Ads,614,5414,514,24,1.9,2.2
416,Google Ads,615,5415,515,25,1.5,2.3
417,Facebook Ads,616,5416,516,26,1.6,2.4
418,Instagram Ads,617,5417,517,27,1.7,2.5
419,LinkedIn Ads,618,5418,518,28,1.8,2.6
420,Twitter Ads,619,5419,519,29,1.9,2.7
421,Google Ads,620,5420,520,30,1.5,1.8
422,Facebook Ads,621,5421,521,31,1.6,1.9
423,Instagram Ads,622,5422,522,32,1.7,2.0
424,LinkedIn Ads,623,5423,523,33,1.8,2.1
425,Twitter Ads,624,5424,524,34,1.9,2.2
426,Google Ads,625,5425,525,35,1.5,2.3
427,Facebook Ads,626,5426,526,36,1.6,2.4
428,Instagram Ads,627,5427,527,37,1.7,2.5
429,LinkedIn Ads,628,5428,528,38,1.8,2.6
430,Twitter Ads,629,5429,529,39,1.9,2.7
431,Google Ads,630,5430,530,40,1.5,1.8
432,Facebook Ads,631,5431,531,41,1.6,1.9
433,Instagram Ads,632,5432,532,42,1.7,2.0
434,LinkedIn Ads,633,5433,533,43,1.8,2.1
435,Twitter Ads,634,5434,534,44,1.9,2.2
436,Google Ads,635,5435,535,45,1.5,2.3
437,Facebook Ads,636,5436,536,46,1.6,2.4
438,Instagram Ads,637,5437,537,47,1.7,2.5
439,LinkedIn Ads,638,5438,538,48,1.8,2.6
440,Twitter Ads,639,5439,539,49,1.9,2.7
441,Google Ads,640,5440,540,50,1.5,1.8
442,Facebook Ads,641,5441,541,51,1.6,1.9
443,Instagram Ads,642,5442,542,52,1.7,2.0
444,LinkedIn Ads,643,5443,543,53,1.8,2.1
445,Twitter Ads,644,5444,544,54,1.9,2.2
446,Google Ads,645,5445,545,55,1.5,2.3
447,Facebook Ads,646,5446,546,56,1.6,2.4
448,Instagram Ads,647,5447,547,57,1.7,2.5
449,LinkedIn Ads,648,5448,548,58,1.8,2.6
450,Twitter Ads,649,5449,549,59,1.9,2.7
451,Google Ads,650,5450,550,10,1.5,1.8
452,Facebook Ads,651,5451,551,11,1.6,1.9
453,Instagram Ads,652,5452,552,12,1.7,2.0
454,LinkedIn Ads,653,5453,553,13,1.8,2.1
455,Twitter Ads,654,5454,554,14,1.9,2.2
456,Google Ads,655,5455,555,15,1.5,2.3
457,Facebook Ads,656,5456,556,16,1.6,2.4
458,Instagram Ads,657,5457,557,17,1.7,2.5
459,LinkedIn Ads,658,5458,558,18,1.8,2.6
460,Twitter Ads,659,5459,559,19,1.9,2.7
461,Google Ads,660,5460,560,20,1.5,1.8
462,Facebook Ads,661,5461,561,21,1.6,1.9
463,Instagram Ads,662,5462,562,22,1.7,2.0
464,LinkedIn Ads,663,5463,563,23,1.8,2.1
465,Twitter Ads,664,5464,564,24,1.9,2.2
466,Google Ads,665,5465,565,25,1.5,2.3
467,Facebook Ads,666,5466,566,26,1.6,2.4
468,Instagram Ads,667,5467,567,27,1.7,2.5
469,LinkedIn Ads,668,5468,568,28,1.8,2.6
470,Twitter Ads,669,5469,569,29,1.9,2.7
471,Google Ads,670,5470,570,30,1.5,1.8
472,Facebook Ads,671,5471,571,31,1.6,1.9
473,Instagram Ads,672,5472,572,32,1.7,2.0
474,LinkedIn Ads,673,5473,573,33,1.8,2.1
475,Twitter Ads,674,5474,574,34,1.9,2.2
476,Google Ads,675,5475,575,35,1.5,2.3
477,Facebook Ads,676,5476,576,36,1.6,2.4
478,Instagram Ads,677,5477,577,37,1.7,2.5
479,LinkedIn Ads,678,5478,578,38,1.8,2.6
480,Twitter Ads,679,5479,579,39,1.9,2.7
481,Google Ads,680,5480,580,40,1.5,1.8
482,Facebook Ads,681,5481,581,41,1.6,1.9
483,Instagram Ads,682,5482,582,42,1.7,2.0
484,LinkedIn Ads,683,5483,583,43,1.8,2.1
485,Twitter Ads,684,5484,584,44,1.9,2.2
486,Google Ads,685,5485,585,45,1.5,2.3
487,Facebook Ads,686,5486,586,46,1.6,2.4
488,Instagram Ads,687,5487,587,47,1.7,2.5
489,LinkedIn Ads,688,5488,588,48,1.8,2.6
490,Twitter Ads,689,5489,589,49,1.9,2.7
491,Google Ads,690,5490,590,50,1.5,1.8
492,Facebook Ads,691,5491,591,51,1.6,1.9
493,Instagram Ads,692,5492,592,52,1.7,2.0
494,LinkedIn Ads,693,5493,593,53,1.8,2.1
495,Twitter Ads,694,5494,594,54,1.9,2.2
496,Google Ads,695,5495,595,55,1.5,2.3
497,Facebook Ads,696,5496,596,56,1.6,2.4
498,Instagram Ads,697,5497,597,57,1.7,2.5
499,LinkedIn Ads,698,5498,598,58,1.8,2.6
500,Twitter Ads,699,5499,599,59,1.9,2.7
501,Google Ads,200,5500,100,10,1.5,1.8
502,Facebook Ads,201,5501,101,11,1.6,1.9
503,Instagram Ads,202,5502,102,12,1.7,2.0
504,LinkedIn Ads,203,5503,103,13,1.8,2.1
505,Twitter Ads,204,5504,104,14,1.9,2.2
506,Google Ads,205,5505,105,15,1.5,2.3
507,Facebook Ads,206,5506,106,16,1.6,2.4
508,Instagram Ads,207,5507,107,17,1.7,2.5
509,LinkedIn Ads,208,5508,108,18,1.8,2.6
510,Twitter Ads,209,5509,109,19,1.9,2.7
511,Google Ads,210,5510,110,20,1.5,1.8
512,Facebook Ads,211,5511,111,21,1.6,1.9
513,Instagram Ads,212,5512,112,22,1.7,2.0
514,LinkedIn Ads,213,5513,113,23,1.8,2.1
515,Twitter Ads,214,5514,114,24,1.9,2.2
516,Google Ads,215,5515,115,25,1.5,2.3
